Iteration,Latency_ms
0,132.36117362976074
1,132.86781311035156
2,132.92264938354492
3,132.41076469421387
4,132.6897144317627
5,132.48729705810547
6,131.96778297424316
7,132.57980346679688
8,132.7188014984131
9,133.0244541168213
10,132.86328315734863
11,131.93202018737793
12,132.5516700744629
13,132.796049118042
14,132.88593292236328
15,133.03017616271973
16,132.34758377075195
17,132.06171989440918
18,132.26795196533203
19,132.33280181884766
20,133.05091857910156
21,132.31158256530762
22,133.03685188293457
23,132.77292251586914
24,132.80606269836426
25,132.72666931152344
26,132.7953338623047
27,132.9345703125
28,133.1019401550293
29,133.06879997253418
30,133.05926322937012
31,132.5547695159912
32,132.368803024292
33,132.77888298034668
34,132.51757621765137
35,132.49444961547852
36,133.00395011901855
37,132.3697566986084
38,133.01730155944824
39,132.72380828857422
40,132.69495964050293
41,132.70139694213867
42,132.798433303833
43,132.97414779663086
44,132.6892375946045
45,132.04383850097656
46,132.42650032043457
47,132.86685943603516
48,132.5089931488037
49,132.4014663696289
50,132.79175758361816
51,132.4901580810547
52,132.52949714660645
53,133.04662704467773
54,132.7047348022461
55,133.07881355285645
56,132.75527954101562
57,132.99560546875
58,132.51876831054688
59,132.72500038146973
60,133.09097290039062
61,132.73954391479492
62,131.7307949066162
63,130.6161880493164
64,131.6995620727539
65,130.71775436401367
66,131.4222812652588
67,131.08420372009277
68,130.60903549194336
69,130.6467056274414
70,131.28256797790527
71,130.5835247039795
72,130.723237991333
73,131.71982765197754
74,131.09421730041504
75,132.1554183959961
76,131.636381149292
77,130.6006908416748
78,130.58757781982422
79,131.1182975769043
80,130.57947158813477
81,130.72896003723145
82,136.73901557922363
83,131.60300254821777
84,131.93750381469727
85,130.73182106018066
86,130.68008422851562
87,131.7899227142334
88,130.6140422821045
89,130.71632385253906
90,131.4399242401123
91,131.11066818237305
92,130.7535171508789
93,131.02149963378906
94,130.73348999023438
95,131.18386268615723
96,131.0446262359619
97,131.04534149169922
98,131.55841827392578
99,130.95498085021973
